2021-12-02 20:52:58 [pool-2-thread-19] [nextAction] [18] INFO  epam.task5.state.impl.EndState - Ship 19 has completed work.
2021-12-02 20:52:58 [pool-2-thread-21] [run] [83] INFO  by.epam.task5.entity.Ship - Ship 21 is in processing
2021-12-02 20:52:58 [pool-2-thread-2] [run] [83] INFO  by.epam.task5.entity.Ship - Ship 2 is in processing
2021-12-02 20:52:58 [pool-2-thread-2] [nextAction] [21] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 2 is unloading.
2021-12-02 20:52:58 [pool-2-thread-21] [nextAction] [21] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 21 is unloading.
2021-12-02 20:52:58 [pool-2-thread-2] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 2 = 0; port = 968
2021-12-02 20:52:58 [pool-2-thread-21] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 21 = 0; port = 1117
2021-12-02 20:52:59 [Timer-0] [run] [129] INFO  by.epam.task5.entity.Port - Number of containers in port = 1117
2021-12-02 20:52:59 [pool-2-thread-2] [nextAction] [18] INFO  epam.task5.state.impl.EndState - Ship 2 has completed work.
2021-12-02 20:52:59 [pool-2-thread-21] [nextAction] [18] INFO  epam.task5.state.impl.EndState - Ship 21 has completed work.
2021-12-02 20:52:59 [pool-2-thread-14] [run] [83] INFO  by.epam.task5.entity.Ship - Ship 14 is in processing
2021-12-02 20:52:59 [pool-2-thread-14] [nextAction] [25] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 14 is loading.
2021-12-02 20:52:59 [pool-2-thread-5] [run] [83] INFO  by.epam.task5.entity.Ship - Ship 5 is in processing
2021-12-02 20:52:59 [pool-2-thread-14] [load] [103] INFO  by.epam.task5.entity.Port - Number of containers after loading: ship 14 = 620; port = 836
2021-12-02 20:52:59 [pool-2-thread-5] [nextAction] [25] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 5 is loading.
2021-12-02 20:52:59 [pool-2-thread-5] [load] [103] INFO  by.epam.task5.entity.Port - Number of containers after loading: ship 5 = 793; port = 0
