2021-12-02 18:15:57 [pool-2-thread-40] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 40 with 131 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:15:57 [pool-2-thread-43] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 43 with 22 containers is in queue. Ship status - unloading required.
2021-12-02 18:15:57 [pool-2-thread-47] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 47 with 177 containers is in queue. Ship status - unloading required.
2021-12-02 18:15:57 [pool-2-thread-41] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 41 with 468 containers is in queue. Ship status - loading required.
2021-12-02 18:15:57 [pool-2-thread-44] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 44 with 537 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:15:58 [Timer-0] [run] [122] INFO  by.epam.task5.entity.Port - Number of containers in port = 1059
2021-12-02 18:15:58 [pool-2-thread-3] [nextAction] [18] INFO  epam.task5.state.impl.EndState - Ship 3 has completed work.
2021-12-02 18:15:58 [pool-2-thread-6] [nextAction] [18] INFO  epam.task5.state.impl.EndState - Ship 6 has completed work.
2021-12-02 18:15:58 [pool-2-thread-12] [run] [83] INFO  by.epam.task5.entity.Ship - Ship 12 is in processing
2021-12-02 18:15:58 [pool-2-thread-2] [run] [83] INFO  by.epam.task5.entity.Ship - Ship 2 is in processing
2021-12-02 18:15:58 [pool-2-thread-2] [nextAction] [20] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 2 is unloading.
2021-12-02 18:15:58 [pool-2-thread-12] [nextAction] [20] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 12 is unloading.
2021-12-02 18:15:58 [pool-2-thread-2] [unload] [108] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 2 = 0; port = 1220
2021-12-02 18:15:58 [pool-2-thread-12] [unload] [108] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 12 = 500; port = 1500
2021-12-02 18:15:58 [pool-2-thread-2] [nextAction] [24] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 2 is loading.
2021-12-02 18:15:58 [pool-2-thread-12] [nextAction] [24] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 12 is loading.
2021-12-02 18:15:58 [pool-2-thread-2] [load] [96] INFO  by.epam.task5.entity.Port - Number of containers after loading: ship 2 = 333; port = 1167
2021-12-02 18:15:58 [pool-2-thread-12] [load] [96] INFO  by.epam.task5.entity.Port - Number of containers after loading: ship 12 = 812; port = 855
2021-12-02 18:15:59 [Timer-0] [run] [122] INFO  by.epam.task5.entity.Port - Number of containers in port = 855
2021-12-02 18:15:59 [pool-2-thread-2] [nextAction] [18] INFO  epam.task5.state.impl.EndState - Ship 2 has completed work.
2021-12-02 18:15:59 [pool-2-thread-12] [nextAction] [18] INFO  epam.task5.state.impl.EndState - Ship 12 has completed work.
2021-12-02 18:15:59 [pool-2-thread-18] [run] [83] INFO  by.epam.task5.entity.Ship - Ship 18 is in processing
2021-12-02 18:15:59 [pool-2-thread-7] [run] [83] INFO  by.epam.task5.entity.Ship - Ship 7 is in processing
2021-12-02 18:15:59 [pool-2-thread-18] [nextAction] [24] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 18 is loading.
2021-12-02 18:15:59 [pool-2-thread-7] [nextAction] [20] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 7 is unloading.
2021-12-02 18:15:59 [pool-2-thread-18] [load] [96] INFO  by.epam.task5.entity.Port - Number of containers after loading: ship 18 = 416; port = 677
2021-12-02 18:15:59 [pool-2-thread-7] [unload] [108] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 7 = 0; port = 1143
2021-12-02 18:15:59 [pool-2-thread-7] [nextAction] [24] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 7 is loading.
2021-12-02 18:15:59 [pool-2-thread-7] [load] [96] INFO  by.epam.task5.entity.Port - Number of containers after loading: ship 7 = 807; port = 336
