2021-11-30 10:22:23 [pool-2-thread-62] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 62 with 213 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-67] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 67 with 507 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-70] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 70 with 114 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-75] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 75 with 375 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-74] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 74 with 423 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-521] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 521 with 45 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-78] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 78 with 384 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-79] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 79 with 65 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-82] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 82 with 146 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-68] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 68 with 136 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-83] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 83 with 21 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-45] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 45 with 114 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-72] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 72 with 513 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-69] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 69 with 156 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-73] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 73 with 449 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-76] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 76 with 427 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-77] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 77 with 763 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-87] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 87 with 348 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-549] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 549 with 343 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-95] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 95 with 178 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-91] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 91 with 1 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-561] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 561 with 188 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-98] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 98 with 411 containers is in queue. Ship status - loading required.
